lead_id,created_at,email_domain,company_id,company_name,campaign_id,utm_campaign,lifecycle_stage,opportunity_id,opportunity_created_at,amount,close_date,close_status,trial_start_at,trial_end_at
LEAD_0013,2025-07-04,yahoo.com,ACC_0013,Vehement Group,CMP_1018,camp_18,SQL,,,,,,2025-07-06,2025-07-20
LEAD_0014,2025-06-12,hooligroup.com,ACC_0014,Hooli Group,CMP_1014,camp_14,SQL,,,,,,,
LEAD_0015,2025-09-09,acmeindustries.com,ACC_0015,Acme Industries,CMP_1016,camp_16,Closed Lost,OPP_0015,2025-10-02,30843.0,2025-10-10,Lost,2025-09-12,2025-09-26
LEAD_0016,2025-06-06,initechgroup.com,ACC_0016,Initech Group,CMP_1006,camp_6,Closed Won,OPP_0016,2025-06-19,10700.0,2025-07-30,Won,2025-06-08,2025-06-22
LEAD_0017,2025-03-04,umbrellaindustries.com,ACC_0017,Umbrella Industries,CMP_1018,camp_18,Closed Lost,OPP_0017,2025-03-19,10396.0,2025-06-15,Lost,2025-03-09,2025-03-23
LEAD_0018,2025-04-11,starkenterprises.com,ACC_0018,Stark Enterprises,CMP_1002,camp_2,Closed Lost,OPP_0018,2025-04-18,16300.0,2025-07-01,Lost,2025-04-15,2025-04-29
LEAD_0019,2025-09-23,vandelaysolutions.com,ACC_0019,Vandelay Solutions,,,SQL,,,,,,2025-09-27,2025-10-11
LEAD_0020,2025-07-30,hooliholdings.com,ACC_0020,Hooli Holdings,,,SQL,,,,,,2025-08-05,2025-08-19
LEAD_0021,2025-06-13,acmelabs.com,ACC_0021,Acme Labs,CMP_1013,camp_13,MQL,,,,,,2025-06-19,2025-07-03
LEAD_0022,2025-06-21,yahoo.com,ACC_0022,Massive Labs,CMP_1017,camp_17,SQL,,,,,,,
LEAD_0023,2025-09-09,vehemententerprises.com,ACC_0023,Vehement Enterprises,CMP_1008,camp_8,Closed Won,OPP_0023,2025-10-12,19025.0,2025-10-23,Won,2025-09-18,2025-10-02
LEAD_0024,2025-08-17,wonkalabs.com,ACC_0024,Wonka Labs,CMP_1018,camp_18,Closed Won,OPP_0024,2025-09-18,17561.0,2025-12-07,Won,2025-08-22,2025-09-05
LEAD_0025,2025-01-15,globexholdings.com,ACC_0025,Globex Holdings,CMP_1014,camp_14,MQL,,,,,,2025-01-15,2025-01-29
LEAD_0026,2025-01-13,gmail.com,ACC_0026,Acme Networks,,,SQL,,,,,,2025-01-14,2025-01-28
LEAD_0027,2025-03-09,hoolilabs.com,ACC_0027,Hooli Labs,CMP_1012,camp_12,Closed Lost,OPP_0027,2025-03-27,13470.0,2025-05-02,Lost,2025-03-17,2025-03-31
LEAD_0028,2025-04-10,vehementholdings.com,ACC_0028,Vehement Holdings,CMP_1008,camp_8,MQL,,,,,,2025-04-13,2025-04-27
LEAD_0029,2025-06-07,acmeenterprises.com,ACC_0029,Acme Enterprises,CMP_1002,camp_2,Closed Lost,OPP_0029,2025-06-24,13908.0,2025-09-21,Lost,2025-06-07,2025-06-21
LEAD_0030,2025-05-23,starkgroup.com,ACC_0030,Stark Group,CMP_1015,camp_15,SQL,,,,,,2025-06-01,2025-06-15
LEAD_0031,2025-01-04,acmenetworks.com,ACC_0031,Acme Networks,CMP_1005,camp_5,Closed Lost,OPP_0031,2025-02-09,17766.0,2025-03-08,Lost,2025-01-05,2025-01-19
LEAD_0032,2025-01-12,wayneholdings.com,ACC_0032,Wayne Holdings,CMP_1015,camp_15,Closed Lost,OPP_0032,2025-02-09,17209.0,2025-03-05,Lost,,
LEAD_0033,2025-09-05,outlook.com,ACC_0033,Wayne Industries,CMP_1016,camp_16,Closed Won,OPP_0033,2025-10-14,5357.0,2025-10-22,Won,2025-09-10,2025-09-24
LEAD_0034,2025-09-29,vandelaycorporation.com,ACC_0034,Vandelay Corporation,CMP_1017,camp_17,MQL,,,,,,,
LEAD_0035,2025-03-23,hoolilabs.com,ACC_0035,Hooli Labs,CMP_1005,camp_5,SQL,,,,,,2025-03-30,2025-04-13
LEAD_0036,2025-09-05,wonkacorporation.com,ACC_0036,Wonka Corporation,CMP_1009,camp_9,Lead,,,,,,,
LEAD_0037,2025-02-18,waynesystems.com,ACC_0037,Wayne Systems,CMP_1008,camp_8,Closed Lost,OPP_0037,2025-03-26,23742.0,2025-03-20,Lost,,
LEAD_0038,2025-05-23,wonkalabs.com,ACC_0038,Wonka Labs,CMP_1017,camp_17,Closed Lost,OPP_0038,2025-06-19,17005.0,2025-09-13,Lost,2025-05-26,2025-06-09
LEAD_0039,2025-07-20,vandelayindustries.com,ACC_0039,Vandelay Industries,CMP_1017,camp_17,SQL,,,,,,2025-07-21,2025-08-04
LEAD_0040,2025-01-20,vehementholdings.com,ACC_0040,Vehement Holdings,CMP_1002,camp_2,Closed Lost,OPP_0040,2025-01-30,19207.0,2025-02-22,Lost,2025-01-20,2025-02-03
LEAD_0041,2025-06-04,vehementsolutions.com,ACC_0041,Vehement Solutions,CMP_1019,camp_19,Closed Won,OPP_0041,2025-06-23,15541.0,2025-09-13,Won,2025-06-08,2025-06-22
LEAD_0042,2025-07-25,initechsolutions.com,ACC_0042,Initech Solutions,CMP_1003,camp_3,Closed Won,OPP_0042,2025-08-21,19788.0,2025-09-07,Won,2025-07-31,2025-08-14
LEAD_0043,2025-06-05,hoolienterprises.com,ACC_0043,Hooli Enterprises,CMP_1003,camp_3,Closed Lost,OPP_0043,2025-06-29,20433.0,2025-09-06,Lost,2025-06-11,2025-06-25
LEAD_0044,2025-07-12,initechnetworks.com,ACC_0044,Initech Networks,CMP_1006,camp_6,Closed Lost,OPP_0044,2025-08-01,19570.0,2025-10-29,Lost,,
LEAD_0045,2025-08-23,waynenetworks.com,ACC_0045,Wayne Networks,CMP_1008,camp_8,Lead,,,,,,,
LEAD_0046,2025-04-18,globexcorporation.com,ACC_0046,Globex Corporation,CMP_1005,camp_5,SQL,,,,,,2025-04-19,2025-05-03
LEAD_0047,2025-07-10,massiveholdings.com,ACC_0047,Massive Holdings,CMP_1002,camp_2,Lead,,,,,,,
LEAD_0048,2025-07-31,hooliindustries.com,ACC_0048,Hooli Industries,CMP_1016,camp_16,Closed Lost,OPP_0048,2025-08-11,7767.0,2025-11-20,Lost,2025-08-08,2025-08-22
LEAD_0049,2025-03-08,wonkacorporation.com,ACC_0049,Wonka Corporation,CMP_1017,camp_17,SQL,,,,,,2025-03-13,2025-03-27
LEAD_0050,2025-01-11,soylentindustries.com,ACC_0050,Soylent Industries,CMP_1003,camp_3,SQL,,,,,,2025-01-18,2025-02-01
LEAD_0051,2025-08-11,waynegroup.com,ACC_0051,Wayne Group,CMP_1004,camp_4,SQL,,,,,,2025-08-13,2025-08-27
LEAD_0052,2025-06-13,wonkagroup.com,ACC_0052,Wonka Group,CMP_1012,camp_12,SQL,,,,,,2025-06-15,2025-06-29
LEAD_0053,2025-08-31,starkholdings.com,ACC_0053,Stark Holdings,CMP_1008,camp_8,MQL,,,,,,2025-09-06,2025-09-20
LEAD_0054,2025-08-27,acmecorporation.com,ACC_0054,Acme Corporation,CMP_1005,camp_5,Closed Lost,OPP_0054,2025-09-21,25195.0,2025-12-18,Lost,,
LEAD_0055,2025-04-27,vehemententerprises.com,ACC_0055,Vehement Enterprises,CMP_1013,camp_13,Lead,,,,,,,
LEAD_0056,2025-04-25,outlook.com,ACC_0056,Vehement Networks,CMP_1016,camp_16,Closed Lost,OPP_0056,2025-05-16,27391.0,2025-06-24,Lost,2025-05-01,2025-05-15
LEAD_0057,2025-05-17,vehementcorporation.com,ACC_0057,Vehement Corporation,CMP_1003,camp_3,MQL,,,,,,2025-05-22,2025-06-05
LEAD_0058,2025-07-11,waynenetworks.com,ACC_0058,Wayne Networks,,,Lead,,,,,,,
LEAD_0059,2025-09-16,globexnetworks.com,ACC_0059,Globex Networks,CMP_1013,camp_13,SQL,,,,,,2025-09-16,2025-09-30
LEAD_0060,2025-04-19,outlook.com,ACC_0060,Wonka Enterprises,CMP_1017,camp_17,Lead,,,,,,,
LEAD_0061,2025-04-27,umbrelladynamics.com,ACC_0061,Umbrella Dynamics,CMP_1013,camp_13,Lead,,,,,,,
LEAD_0062,2025-08-30,waynelabs.com,ACC_0062,Wayne Labs,CMP_1008,camp_8,Lead,,,,,,,
LEAD_0063,2025-02-25,starknetworks.com,ACC_0063,Stark Networks,CMP_1014,camp_14,MQL,,,,,,2025-02-25,2025-03-11
LEAD_0064,2025-04-25,proton.me,ACC_0064,Umbrella Systems,CMP_1011,camp_11,Closed Lost,OPP_0064,2025-05-24,14944.0,2025-06-25,Lost,2025-04-27,2025-05-11
LEAD_0065,2025-06-12,waynesolutions.com,ACC_0065,Wayne Solutions,,,Lead,,,,,,,
LEAD_0066,2025-02-28,hooliindustries.com,ACC_0066,Hooli Industries,CMP_1014,camp_14,Closed Lost,OPP_0066,2025-03-23,4000.0,2025-05-16,Lost,,
LEAD_0067,2025-01-20,vehementlabs.com,ACC_0067,Vehement Labs,CMP_1003,camp_3,MQL,,,,,,2025-01-26,2025-02-09
LEAD_0068,2025-03-27,yahoo.com,ACC_0068,Umbrella Networks,CMP_1005,camp_5,MQL,,,,,,2025-03-31,2025-04-14
LEAD_0069,2025-01-22,outlook.com,ACC_0069,Umbrella Industries,CMP_1001,camp_1,Closed Won,OPP_0069,2025-02-21,16250.0,2025-03-17,Won,2025-01-27,2025-02-10
LEAD_0070,2025-04-18,umbrellasolutions.com,ACC_0070,Umbrella Solutions,CMP_1010,camp_10,Lead,,,,,,,
LEAD_0071,2025-05-01,massivesystems.com,ACC_0071,Massive Systems,CMP_1019,camp_19,Lead,,,,,,,
LEAD_0072,2025-05-29,globexdynamics.com,ACC_0072,Globex Dynamics,,,SQL,,,,,,2025-05-31,2025-06-14
LEAD_0073,2025-06-14,yahoo.com,ACC_0073,Wayne Labs,CMP_1007,camp_7,Lead,,,,,,,
LEAD_0074,2025-02-21,waynenetworks.com,ACC_0074,Wayne Networks,CMP_1004,camp_4,Lead,,,,,,,
LEAD_0075,2025-05-11,vehementcorporation.com,ACC_0075,Vehement Corporation,CMP_1006,camp_6,MQL,,,,,,2025-05-11,2025-05-25
LEAD_0076,2025-03-17,proton.me,ACC_0076,Vehement Corporation,CMP_1007,camp_7,MQL,,,,,,2025-03-23,2025-04-06
LEAD_0077,2025-07-05,soylentgroup.com,ACC_0077,Soylent Group,CMP_1013,camp_13,MQL,,,,,,2025-07-06,2025-07-20
LEAD_0078,2025-08-05,wonkaholdings.com,ACC_0078,Wonka Holdings,CMP_1012,camp_12,MQL,,,,,,2025-08-14,2025-08-28
LEAD_0079,2025-01-22,acmesolutions.com,ACC_0079,Acme Solutions,,,SQL,,,,,,2025-01-26,2025-02-09
LEAD_0080,2025-08-12,wonkadynamics.com,ACC_0080,Wonka Dynamics,CMP_1002,camp_2,Lead,,,,,,,
LEAD_0081,2025-07-29,soylententerprises.com,ACC_0081,Soylent Enterprises,CMP_1007,camp_7,MQL,,,,,,2025-08-06,2025-08-20
LEAD_0082,2025-01-11,hoolisystems.com,ACC_0082,Hooli Systems,CMP_1005,camp_5,Lead,,,,,,,
LEAD_0083,2025-06-17,yahoo.com,ACC_0083,Vehement Corporation,CMP_1006,camp_6,SQL,,,,,,2025-06-19,2025-07-03
LEAD_0084,2025-05-30,massiveindustries.com,ACC_0084,Massive Industries,CMP_1010,camp_10,MQL,,,,,,2025-06-02,2025-06-16
LEAD_0085,2025-06-19,massivedynamics.com,ACC_0085,Massive Dynamics,CMP_1019,camp_19,MQL,,,,,,,
LEAD_0086,2025-06-03,yahoo.com,ACC_0086,Soylent Enterprises,CMP_1013,camp_13,Closed Won,OPP_0086,2025-06-15,22933.0,2025-08-15,Won,2025-06-05,2025-06-19
LEAD_0087,2025-07-01,wonkadynamics.com,ACC_0087,Wonka Dynamics,CMP_1018,camp_18,Lead,,,,,,,
LEAD_0088,2025-02-12,globexindustries.com,ACC_0088,Globex Industries,CMP_1012,camp_12,MQL,,,,,,,
LEAD_0089,2025-01-04,waynegroup.com,ACC_0089,Wayne Group,CMP_1009,camp_9,MQL,,,,,,2025-01-13,2025-01-27
LEAD_0090,2025-02-28,wayneholdings.com,ACC_0090,Wayne Holdings,CMP_1010,camp_10,Closed Won,OPP_0090,2025-03-25,24419.0,2025-03-29,Won,2025-03-03,2025-03-17
LEAD_0091,2025-06-14,wayneenterprises.com,ACC_0091,Wayne Enterprises,CMP_1004,camp_4,Closed Lost,OPP_0091,2025-07-08,15229.0,2025-09-03,Lost,2025-06-17,2025-07-01
LEAD_0092,2025-03-30,umbrellagroup.com,ACC_0092,Umbrella Group,CMP_1008,camp_8,Lead,,,,,,,
LEAD_0093,2025-09-13,waynesystems.com,ACC_0093,Wayne Systems,CMP_1011,camp_11,MQL,,,,,,2025-09-18,2025-10-02
LEAD_0094,2025-06-01,initechholdings.com,ACC_0094,Initech Holdings,CMP_1019,camp_19,Closed Won,OPP_0094,2025-07-01,18088.0,2025-08-02,Won,2025-06-08,2025-06-22
LEAD_0095,2025-08-24,gmail.com,ACC_0095,Acme Holdings,,,Lead,,,,,,,
LEAD_0096,2025-03-21,hoolinetworks.com,ACC_0096,Hooli Networks,CMP_1007,camp_7,Closed Won,OPP_0096,2025-04-27,21174.0,2025-05-11,Won,2025-03-21,2025-04-04
LEAD_0097,2025-04-10,gmail.com,ACC_0097,Stark Corporation,CMP_1006,camp_6,Closed Lost,OPP_0097,2025-04-26,26167.0,2025-07-17,Lost,2025-04-16,2025-04-30
LEAD_0098,2025-07-04,vehementholdings.com,ACC_0098,Vehement Holdings,CMP_1010,camp_10,SQL,,,,,,2025-07-09,2025-07-23
LEAD_0099,2025-03-11,yahoo.com,ACC_0099,Wayne Labs,CMP_1015,camp_15,Lead,,,,,,,
LEAD_0100,2025-09-30,starklabs.com,ACC_0100,Stark Labs,CMP_1007,camp_7,Lead,,,,,,,
LEAD_0101,2025-05-30,starknetworks.com,ACC_0101,Stark Networks,CMP_1003,camp_3,MQL,,,,,,,
LEAD_0102,2025-02-13,massiveenterprises.com,ACC_0102,Massive Enterprises,CMP_1009,camp_9,SQL,,,,,,2025-02-16,2025-03-02
LEAD_0103,2025-01-23,acmeholdings.com,ACC_0103,Acme Holdings,CMP_1004,camp_4,Closed Lost,OPP_0103,2025-02-07,22060.0,2025-05-19,Lost,2025-01-28,2025-02-11
LEAD_0104,2025-03-17,acmedynamics.com,ACC_0104,Acme Dynamics,CMP_1017,camp_17,Lead,,,,,,,
LEAD_0105,2025-02-02,hoolisolutions.com,ACC_0105,Hooli Solutions,CMP_1012,camp_12,Lead,,,,,,,
LEAD_0106,2025-06-11,globexgroup.com,ACC_0106,Globex Group,,,MQL,,,,,,2025-06-13,2025-06-27
LEAD_0107,2025-02-24,massiveenterprises.com,ACC_0107,Massive Enterprises,CMP_1010,camp_10,MQL,,,,,,,
LEAD_0108,2025-09-14,outlook.com,ACC_0108,Umbrella Group,CMP_1003,camp_3,MQL,,,,,,,
LEAD_0109,2025-05-14,starkgroup.com,ACC_0109,Stark Group,CMP_1015,camp_15,Closed Lost,OPP_0109,2025-06-02,26144.0,2025-06-25,Lost,2025-05-17,2025-05-31
LEAD_0110,2025-01-31,massivedynamics.com,ACC_0110,Massive Dynamics,CMP_1015,camp_15,Closed Lost,OPP_0110,2025-03-06,26257.0,2025-04-28,Lost,2025-02-01,2025-02-15
LEAD_0111,2025-09-24,waynesystems.com,ACC_0111,Wayne Systems,CMP_1009,camp_9,Closed Lost,OPP_0111,2025-10-14,24395.0,2026-01-12,Lost,2025-10-03,2025-10-17
LEAD_0112,2025-08-25,wonkagroup.com,ACC_0112,Wonka Group,CMP_1014,camp_14,MQL,,,,,,2025-08-28,2025-09-11
LEAD_0113,2025-08-20,vehementdynamics.com,ACC_0113,Vehement Dynamics,CMP_1007,camp_7,SQL,,,,,,2025-08-26,2025-09-09
LEAD_0114,2025-09-14,starkenterprises.com,ACC_0114,Stark Enterprises,CMP_1002,camp_2,Closed Lost,OPP_0114,2025-10-01,11720.0,2025-12-17,Lost,2025-09-17,2025-10-01
LEAD_0115,2025-04-23,acmecorporation.com,ACC_0115,Acme Corporation,CMP_1009,camp_9,MQL,,,,,,2025-04-25,2025-05-09
LEAD_0116,2025-08-30,globexindustries.com,ACC_0116,Globex Industries,CMP_1019,camp_19,Closed Won,OPP_0116,2025-10-02,17485.0,2025-09-28,Won,2025-08-31,2025-09-14
LEAD_0117,2025-03-21,hooligroup.com,ACC_0117,Hooli Group,CMP_1011,camp_11,MQL,,,,,,2025-03-30,2025-04-13
LEAD_0118,2025-06-10,wonkacorporation.com,ACC_0118,Wonka Corporation,CMP_1007,camp_7,Closed Lost,OPP_0118,2025-06-29,22763.0,2025-07-19,Lost,2025-06-17,2025-07-01
LEAD_0119,2025-01-27,soylentnetworks.com,ACC_0119,Soylent Networks,CMP_1016,camp_16,Lead,,,,,,,
LEAD_0120,2025-03-01,acmegroup.com,ACC_0120,Acme Group,CMP_1008,camp_8,SQL,,,,,,2025-03-01,2025-03-15
LEAD_0121,2025-09-17,vehementcorporation.com,ACC_0121,Vehement Corporation,CMP_1005,camp_5,Closed Lost,OPP_0121,2025-10-22,18486.0,2025-10-16,Lost,2025-09-22,2025-10-06
LEAD_0122,2025-05-07,wayneenterprises.com,ACC_0122,Wayne Enterprises,CMP_1017,camp_17,Lead,,,,,,,
LEAD_0123,2025-04-13,umbrelladynamics.com,ACC_0123,Umbrella Dynamics,CMP_1019,camp_19,SQL,,,,,,2025-04-21,2025-05-05
LEAD_0124,2025-05-20,acmegroup.com,ACC_0124,Acme Group,CMP_1001,camp_1,Closed Lost,OPP_0124,2025-06-19,24836.0,2025-08-14,Lost,2025-05-26,2025-06-09
LEAD_0125,2025-09-25,vehementdynamics.com,ACC_0125,Vehement Dynamics,CMP_1018,camp_18,MQL,,,,,,2025-10-04,2025-10-18
LEAD_0126,2025-02-03,starkdynamics.com,ACC_0126,Stark Dynamics,CMP_1003,camp_3,Closed Won,OPP_0126,2025-02-12,6505.0,2025-05-28,Won,,
LEAD_0127,2025-04-09,acmeenterprises.com,ACC_0127,Acme Enterprises,CMP_1005,camp_5,Lead,,,,,,,
LEAD_0128,2025-09-12,wonkaholdings.com,ACC_0128,Wonka Holdings,CMP_1013,camp_13,MQL,,,,,,2025-09-20,2025-10-04
LEAD_0129,2025-02-24,umbrellalabs.com,ACC_0129,Umbrella Labs,CMP_1014,camp_14,Closed Won,OPP_0129,2025-03-24,21059.0,2025-06-18,Won,2025-03-03,2025-03-17
LEAD_0130,2025-04-20,starksolutions.com,ACC_0130,Stark Solutions,CMP_1016,camp_16,MQL,,,,,,,
LEAD_0131,2025-02-04,yahoo.com,ACC_0131,Initech Holdings,CMP_1015,camp_15,SQL,,,,,,2025-02-12,2025-02-26
LEAD_0132,2025-03-29,wayneholdings.com,ACC_0132,Wayne Holdings,CMP_1008,camp_8,Closed Lost,OPP_0132,2025-05-06,24458.0,2025-07-10,Lost,2025-03-29,2025-04-12
LEAD_0133,2025-06-09,acmedynamics.com,ACC_0133,Acme Dynamics,CMP_1014,camp_14,Closed Won,OPP_0133,2025-06-23,10108.0,2025-07-09,Won,2025-06-15,2025-06-29
LEAD_0134,2025-09-28,acmegroup.com,ACC_0134,Acme Group,,,Closed Lost,OPP_0134,2025-10-18,20912.0,2026-01-17,Lost,2025-10-01,2025-10-15
LEAD_0135,2025-06-24,vandelaycorporation.com,ACC_0135,Vandelay Corporation,CMP_1018,camp_18,MQL,,,,,,2025-07-02,2025-07-16
LEAD_0136,2025-09-29,umbrellaindustries.com,ACC_0136,Umbrella Industries,CMP_1012,camp_12,Closed Won,OPP_0136,2025-11-06,18119.0,2025-11-14,Won,2025-09-30,2025-10-14
LEAD_0137,2025-04-30,starknetworks.com,ACC_0137,Stark Networks,CMP_1018,camp_18,MQL,,,,,,2025-05-06,2025-05-20
LEAD_0138,2025-02-12,initechnetworks.com,ACC_0138,Initech Networks,CMP_1017,camp_17,SQL,,,,,,,
LEAD_0139,2025-01-04,umbrellasolutions.com,ACC_0139,Umbrella Solutions,CMP_1014,camp_14,Closed Lost,OPP_0139,2025-02-10,11261.0,2025-02-05,Lost,,
LEAD_0140,2025-01-19,yahoo.com,ACC_0140,Soylent Group,CMP_1012,camp_12,Lead,,,,,,,
LEAD_0141,2025-01-07,yahoo.com,ACC_0141,Umbrella Solutions,CMP_1015,camp_15,Lead,,,,,,,
LEAD_0142,2025-07-15,vehementlabs.com,ACC_0142,Vehement Labs,CMP_1013,camp_13,Lead,,,,,,,
LEAD_0143,2025-05-12,globexgroup.com,ACC_0143,Globex Group,CMP_1012,camp_12,SQL,,,,,,2025-05-17,2025-05-31
LEAD_0144,2025-05-01,massivenetworks.com,ACC_0144,Massive Networks,CMP_1007,camp_7,SQL,,,,,,2025-05-03,2025-05-17
LEAD_0145,2025-04-24,proton.me,ACC_0145,Vehement Solutions,CMP_1010,camp_10,SQL,,,,,,2025-05-03,2025-05-17
LEAD_0146,2025-05-29,umbrellanetworks.com,ACC_0146,Umbrella Networks,CMP_1015,camp_15,MQL,,,,,,2025-06-03,2025-06-17
LEAD_0147,2025-01-12,globexholdings.com,ACC_0147,Globex Holdings,,,Lead,,,,,,,
LEAD_0148,2025-04-06,hooligroup.com,ACC_0148,Hooli Group,CMP_1018,camp_18,Lead,,,,,,,
LEAD_0149,2025-05-30,globexindustries.com,ACC_0149,Globex Industries,CMP_1015,camp_15,Closed Lost,OPP_0149,2025-06-15,32051.0,2025-07-07,Lost,2025-06-02,2025-06-16
LEAD_0150,2025-06-01,massiveholdings.com,ACC_0150,Massive Holdings,CMP_1009,camp_9,Closed Won,OPP_0150,2025-06-19,21364.0,2025-07-30,Won,,
LEAD_0151,2025-05-11,vandelayholdings.com,ACC_0151,Vandelay Holdings,CMP_1012,camp_12,SQL,,,,,,2025-05-15,2025-05-29
LEAD_0152,2025-06-10,vehemententerprises.com,ACC_0152,Vehement Enterprises,CMP_1004,camp_4,SQL,,,,,,,
LEAD_0153,2025-01-18,yahoo.com,ACC_0153,Initech Group,CMP_1019,camp_19,SQL,,,,,,2025-01-19,2025-02-02
LEAD_0154,2025-02-05,initechsystems.com,ACC_0154,Initech Systems,CMP_1003,camp_3,Closed Lost,OPP_0154,2025-03-10,19593.0,2025-04-06,Lost,2025-02-12,2025-02-26
LEAD_0155,2025-03-28,umbrellasystems.com,ACC_0155,Umbrella Systems,CMP_1016,camp_16,SQL,,,,,,2025-04-01,2025-04-15
LEAD_0156,2025-09-01,acmesystems.com,ACC_0156,Acme Systems,CMP_1001,camp_1,Closed Lost,OPP_0156,2025-09-08,17866.0,2025-11-16,Lost,2025-09-05,2025-09-19
LEAD_0157,2025-02-15,umbrellalabs.com,ACC_0157,Umbrella Labs,CMP_1001,camp_1,Lead,,,,,,,
LEAD_0158,2025-03-03,hooliindustries.com,ACC_0158,Hooli Industries,CMP_1013,camp_13,Closed Lost,OPP_0158,2025-03-16,25409.0,2025-04-12,Lost,2025-03-09,2025-03-23
LEAD_0159,2025-07-09,acmeholdings.com,ACC_0159,Acme Holdings,CMP_1006,camp_6,Lead,,,,,,,
LEAD_0160,2025-06-28,vandelayenterprises.com,ACC_0160,Vandelay Enterprises,CMP_1011,camp_11,Lead,,,,,,,
LEAD_0161,2025-07-27,vehementindustries.com,ACC_0161,Vehement Industries,CMP_1011,camp_11,MQL,,,,,,2025-08-03,2025-08-17
LEAD_0162,2025-07-31,outlook.com,ACC_0162,Acme Systems,CMP_1015,camp_15,SQL,,,,,,2025-08-03,2025-08-17
LEAD_0163,2025-05-02,wonkaholdings.com,ACC_0163,Wonka Holdings,CMP_1001,camp_1,MQL,,,,,,2025-05-09,2025-05-23
LEAD_0164,2025-08-30,yahoo.com,ACC_0164,Wonka Solutions,CMP_1005,camp_5,Lead,,,,,,,
LEAD_0165,2025-09-07,initechsolutions.com,ACC_0165,Initech Solutions,CMP_1009,camp_9,SQL,,,,,,2025-09-10,2025-09-24
LEAD_0166,2025-08-08,globexsolutions.com,ACC_0166,Globex Solutions,CMP_1016,camp_16,SQL,,,,,,2025-08-12,2025-08-26
LEAD_0167,2025-01-08,vandelayenterprises.com,ACC_0167,Vandelay Enterprises,CMP_1015,camp_15,Lead,,,,,,,
LEAD_0168,2025-08-15,yahoo.com,ACC_0168,Umbrella Networks,CMP_1004,camp_4,SQL,,,,,,2025-08-15,2025-08-29
LEAD_0169,2025-06-07,acmeenterprises.com,ACC_0169,Acme Enterprises,CMP_1016,camp_16,Closed Won,OPP_0169,2025-06-20,30225.0,2025-09-30,Won,2025-06-16,2025-06-30
LEAD_0170,2025-06-23,initechgroup.com,ACC_0170,Initech Group,CMP_1001,camp_1,MQL,,,,,,2025-07-01,2025-07-15
LEAD_0171,2025-09-20,umbrellaholdings.com,ACC_0171,Umbrella Holdings,CMP_1013,camp_13,Lead,,,,,,,
LEAD_0172,2025-04-06,umbrellanetworks.com,ACC_0172,Umbrella Networks,CMP_1018,camp_18,Closed Lost,OPP_0172,2025-04-27,26066.0,2025-06-22,Lost,2025-04-12,2025-04-26
LEAD_0173,2025-03-09,vandelayholdings.com,ACC_0173,Vandelay Holdings,CMP_1010,camp_10,MQL,,,,,,2025-03-16,2025-03-30
LEAD_0174,2025-05-01,hoolinetworks.com,ACC_0174,Hooli Networks,CMP_1014,camp_14,Lead,,,,,,,
LEAD_0175,2025-06-10,umbrellaholdings.com,ACC_0175,Umbrella Holdings,CMP_1004,camp_4,SQL,,,,,,2025-06-12,2025-06-26
