company_id,lead_id,created_at,email_domain,company_name,campaign_id,utm_campaign,lifecycle_stage,opportunity_id,opportunity_created_at,amount,close_date,close_status,trial_start_at,trial_end_at,is_opportunity,is_won,events,active_days,users,logins,feature_x,feature_y,plan_tiers,activated_30d
ACC_0025,LEAD_0025,2025-01-15,globexholdings.com,Globex Holdings,CMP_1014,camp_14,MQL,,,,,,2025-01-15,2025-01-29,False,False,46.0,15.0,24.0,22.0,9.0,8.0,4.0,False
ACC_0026,LEAD_0026,2025-01-13,gmail.com,Acme Networks,,,SQL,,,,,,2025-01-14,2025-01-28,False,False,38.0,14.0,23.0,22.0,5.0,5.0,4.0,False
ACC_0027,LEAD_0027,2025-03-09,hoolilabs.com,Hooli Labs,CMP_1012,camp_12,Closed Lost,OPP_0027,2025-03-27,13470.0,2025-05-02,Lost,2025-03-17,2025-03-31,True,False,54.0,14.0,22.0,28.0,8.0,9.0,4.0,False
ACC_0028,LEAD_0028,2025-04-10,vehementholdings.com,Vehement Holdings,CMP_1008,camp_8,MQL,,,,,,2025-04-13,2025-04-27,False,False,59.0,15.0,5.0,33.0,12.0,6.0,4.0,False
ACC_0029,LEAD_0029,2025-06-07,acmeenterprises.com,Acme Enterprises,CMP_1002,camp_2,Closed Lost,OPP_0029,2025-06-24,13908.0,2025-09-21,Lost,2025-06-07,2025-06-21,True,False,45.0,12.0,18.0,21.0,11.0,4.0,4.0,False
ACC_0030,LEAD_0030,2025-05-23,starkgroup.com,Stark Group,CMP_1015,camp_15,SQL,,,,,,2025-06-01,2025-06-15,False,False,48.0,15.0,18.0,16.0,10.0,5.0,4.0,False
ACC_0031,LEAD_0031,2025-01-04,acmenetworks.com,Acme Networks,CMP_1005,camp_5,Closed Lost,OPP_0031,2025-02-09,17766.0,2025-03-08,Lost,2025-01-05,2025-01-19,True,False,48.0,13.0,23.0,22.0,12.0,8.0,4.0,False
ACC_0032,LEAD_0032,2025-01-12,wayneholdings.com,Wayne Holdings,CMP_1015,camp_15,Closed Lost,OPP_0032,2025-02-09,17209.0,2025-03-05,Lost,,,True,False,,,,,,,,False
ACC_0033,LEAD_0033,2025-09-05,outlook.com,Wayne Industries,CMP_1016,camp_16,Closed Won,OPP_0033,2025-10-14,5357.0,2025-10-22,Won,2025-09-10,2025-09-24,True,True,325.0,87.0,8.0,143.0,74.0,50.0,3.0,True
ACC_0034,LEAD_0034,2025-09-29,vandelaycorporation.com,Vandelay Corporation,CMP_1017,camp_17,MQL,,,,,,,,False,False,,,,,,,,False
ACC_0035,LEAD_0035,2025-03-23,hoolilabs.com,Hooli Labs,CMP_1005,camp_5,SQL,,,,,,2025-03-30,2025-04-13,False,False,60.0,15.0,16.0,32.0,10.0,8.0,3.0,False
ACC_0036,LEAD_0036,2025-09-05,wonkacorporation.com,Wonka Corporation,CMP_1009,camp_9,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0037,LEAD_0037,2025-02-18,waynesystems.com,Wayne Systems,CMP_1008,camp_8,Closed Lost,OPP_0037,2025-03-26,23742.0,2025-03-20,Lost,,,True,False,,,,,,,,False
ACC_0038,LEAD_0038,2025-05-23,wonkalabs.com,Wonka Labs,CMP_1017,camp_17,Closed Lost,OPP_0038,2025-06-19,17005.0,2025-09-13,Lost,2025-05-26,2025-06-09,True,False,59.0,14.0,14.0,21.0,10.0,12.0,4.0,False
ACC_0039,LEAD_0039,2025-07-20,vandelayindustries.com,Vandelay Industries,CMP_1017,camp_17,SQL,,,,,,2025-07-21,2025-08-04,False,False,58.0,15.0,19.0,33.0,6.0,10.0,4.0,False
ACC_0040,LEAD_0040,2025-01-20,vehementholdings.com,Vehement Holdings,CMP_1002,camp_2,Closed Lost,OPP_0040,2025-01-30,19207.0,2025-02-22,Lost,2025-01-20,2025-02-03,True,False,61.0,14.0,23.0,29.0,10.0,10.0,4.0,False
ACC_0041,LEAD_0041,2025-06-04,vehementsolutions.com,Vehement Solutions,CMP_1019,camp_19,Closed Won,OPP_0041,2025-06-23,15541.0,2025-09-13,Won,2025-06-08,2025-06-22,True,True,386.0,89.0,27.0,183.0,71.0,59.0,3.0,True
ACC_0042,LEAD_0042,2025-07-25,initechsolutions.com,Initech Solutions,CMP_1003,camp_3,Closed Won,OPP_0042,2025-08-21,19788.0,2025-09-07,Won,2025-07-31,2025-08-14,True,True,477.0,128.0,29.0,222.0,99.0,67.0,3.0,True
ACC_0043,LEAD_0043,2025-06-05,hoolienterprises.com,Hooli Enterprises,CMP_1003,camp_3,Closed Lost,OPP_0043,2025-06-29,20433.0,2025-09-06,Lost,2025-06-11,2025-06-25,True,False,62.0,15.0,27.0,24.0,13.0,14.0,4.0,False
ACC_0044,LEAD_0044,2025-07-12,initechnetworks.com,Initech Networks,CMP_1006,camp_6,Closed Lost,OPP_0044,2025-08-01,19570.0,2025-10-29,Lost,,,True,False,,,,,,,,False
ACC_0045,LEAD_0045,2025-08-23,waynenetworks.com,Wayne Networks,CMP_1008,camp_8,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0046,LEAD_0046,2025-04-18,globexcorporation.com,Globex Corporation,CMP_1005,camp_5,SQL,,,,,,2025-04-19,2025-05-03,False,False,52.0,14.0,9.0,24.0,10.0,9.0,4.0,False
ACC_0047,LEAD_0047,2025-07-10,massiveholdings.com,Massive Holdings,CMP_1002,camp_2,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0048,LEAD_0048,2025-07-31,hooliindustries.com,Hooli Industries,CMP_1016,camp_16,Closed Lost,OPP_0048,2025-08-11,7767.0,2025-11-20,Lost,2025-08-08,2025-08-22,True,False,50.0,15.0,20.0,22.0,10.0,10.0,4.0,False
ACC_0049,LEAD_0049,2025-03-08,wonkacorporation.com,Wonka Corporation,CMP_1017,camp_17,SQL,,,,,,2025-03-13,2025-03-27,False,False,53.0,15.0,24.0,25.0,7.0,4.0,4.0,False
ACC_0050,LEAD_0050,2025-01-11,soylentindustries.com,Soylent Industries,CMP_1003,camp_3,SQL,,,,,,2025-01-18,2025-02-01,False,False,58.0,13.0,22.0,24.0,11.0,10.0,4.0,False
ACC_0051,LEAD_0051,2025-08-11,waynegroup.com,Wayne Group,CMP_1004,camp_4,SQL,,,,,,2025-08-13,2025-08-27,False,False,42.0,14.0,4.0,28.0,6.0,4.0,4.0,False
ACC_0052,LEAD_0052,2025-06-13,wonkagroup.com,Wonka Group,CMP_1012,camp_12,SQL,,,,,,2025-06-15,2025-06-29,False,False,51.0,15.0,17.0,23.0,6.0,7.0,4.0,False
ACC_0053,LEAD_0053,2025-08-31,starkholdings.com,Stark Holdings,CMP_1008,camp_8,MQL,,,,,,2025-09-06,2025-09-20,False,False,42.0,13.0,19.0,18.0,9.0,6.0,4.0,False
ACC_0054,LEAD_0054,2025-08-27,acmecorporation.com,Acme Corporation,CMP_1005,camp_5,Closed Lost,OPP_0054,2025-09-21,25195.0,2025-12-18,Lost,,,True,False,,,,,,,,False
ACC_0055,LEAD_0055,2025-04-27,vehemententerprises.com,Vehement Enterprises,CMP_1013,camp_13,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0056,LEAD_0056,2025-04-25,outlook.com,Vehement Networks,CMP_1016,camp_16,Closed Lost,OPP_0056,2025-05-16,27391.0,2025-06-24,Lost,2025-05-01,2025-05-15,True,False,52.0,14.0,29.0,25.0,10.0,10.0,3.0,False
ACC_0057,LEAD_0057,2025-05-17,vehementcorporation.com,Vehement Corporation,CMP_1003,camp_3,MQL,,,,,,2025-05-22,2025-06-05,False,False,55.0,15.0,21.0,18.0,14.0,11.0,4.0,False
ACC_0058,LEAD_0058,2025-07-11,waynenetworks.com,Wayne Networks,,,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0059,LEAD_0059,2025-09-16,globexnetworks.com,Globex Networks,CMP_1013,camp_13,SQL,,,,,,2025-09-16,2025-09-30,False,False,56.0,15.0,14.0,27.0,11.0,9.0,4.0,False
ACC_0060,LEAD_0060,2025-04-19,outlook.com,Wonka Enterprises,CMP_1017,camp_17,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0061,LEAD_0061,2025-04-27,umbrelladynamics.com,Umbrella Dynamics,CMP_1013,camp_13,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0062,LEAD_0062,2025-08-30,waynelabs.com,Wayne Labs,CMP_1008,camp_8,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0063,LEAD_0063,2025-02-25,starknetworks.com,Stark Networks,CMP_1014,camp_14,MQL,,,,,,2025-02-25,2025-03-11,False,False,39.0,13.0,10.0,15.0,10.0,5.0,4.0,False
ACC_0064,LEAD_0064,2025-04-25,proton.me,Umbrella Systems,CMP_1011,camp_11,Closed Lost,OPP_0064,2025-05-24,14944.0,2025-06-25,Lost,2025-04-27,2025-05-11,True,False,60.0,14.0,22.0,25.0,13.0,12.0,4.0,False
ACC_0065,LEAD_0065,2025-06-12,waynesolutions.com,Wayne Solutions,,,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0066,LEAD_0066,2025-02-28,hooliindustries.com,Hooli Industries,CMP_1014,camp_14,Closed Lost,OPP_0066,2025-03-23,4000.0,2025-05-16,Lost,,,True,False,,,,,,,,False
ACC_0067,LEAD_0067,2025-01-20,vehementlabs.com,Vehement Labs,CMP_1003,camp_3,MQL,,,,,,2025-01-26,2025-02-09,False,False,63.0,15.0,3.0,28.0,9.0,13.0,4.0,False
ACC_0068,LEAD_0068,2025-03-27,yahoo.com,Umbrella Networks,CMP_1005,camp_5,MQL,,,,,,2025-03-31,2025-04-14,False,False,51.0,14.0,6.0,27.0,6.0,8.0,4.0,False
ACC_0069,LEAD_0069,2025-01-22,outlook.com,Umbrella Industries,CMP_1001,camp_1,Closed Won,OPP_0069,2025-02-21,16250.0,2025-03-17,Won,2025-01-27,2025-02-10,True,True,210.0,52.0,2.0,90.0,54.0,28.0,3.0,True
ACC_0070,LEAD_0070,2025-04-18,umbrellasolutions.com,Umbrella Solutions,CMP_1010,camp_10,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0071,LEAD_0071,2025-05-01,massivesystems.com,Massive Systems,CMP_1019,camp_19,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0072,LEAD_0072,2025-05-29,globexdynamics.com,Globex Dynamics,,,SQL,,,,,,2025-05-31,2025-06-14,False,False,52.0,14.0,20.0,22.0,13.0,8.0,4.0,False
ACC_0073,LEAD_0073,2025-06-14,yahoo.com,Wayne Labs,CMP_1007,camp_7,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0074,LEAD_0074,2025-02-21,waynenetworks.com,Wayne Networks,CMP_1004,camp_4,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0075,LEAD_0075,2025-05-11,vehementcorporation.com,Vehement Corporation,CMP_1006,camp_6,MQL,,,,,,2025-05-11,2025-05-25,False,False,42.0,14.0,24.0,17.0,6.0,9.0,4.0,False
ACC_0076,LEAD_0076,2025-03-17,proton.me,Vehement Corporation,CMP_1007,camp_7,MQL,,,,,,2025-03-23,2025-04-06,False,False,51.0,12.0,9.0,21.0,11.0,8.0,4.0,False
ACC_0077,LEAD_0077,2025-07-05,soylentgroup.com,Soylent Group,CMP_1013,camp_13,MQL,,,,,,2025-07-06,2025-07-20,False,False,39.0,15.0,14.0,17.0,12.0,4.0,3.0,False
ACC_0078,LEAD_0078,2025-08-05,wonkaholdings.com,Wonka Holdings,CMP_1012,camp_12,MQL,,,,,,2025-08-14,2025-08-28,False,False,52.0,13.0,28.0,24.0,11.0,6.0,4.0,False
ACC_0079,LEAD_0079,2025-01-22,acmesolutions.com,Acme Solutions,,,SQL,,,,,,2025-01-26,2025-02-09,False,False,51.0,15.0,10.0,20.0,11.0,9.0,4.0,False
ACC_0080,LEAD_0080,2025-08-12,wonkadynamics.com,Wonka Dynamics,CMP_1002,camp_2,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0081,LEAD_0081,2025-07-29,soylententerprises.com,Soylent Enterprises,CMP_1007,camp_7,MQL,,,,,,2025-08-06,2025-08-20,False,False,61.0,15.0,6.0,31.0,14.0,7.0,3.0,False
ACC_0082,LEAD_0082,2025-01-11,hoolisystems.com,Hooli Systems,CMP_1005,camp_5,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0083,LEAD_0083,2025-06-17,yahoo.com,Vehement Corporation,CMP_1006,camp_6,SQL,,,,,,2025-06-19,2025-07-03,False,False,41.0,14.0,21.0,20.0,8.0,8.0,4.0,False
ACC_0084,LEAD_0084,2025-05-30,massiveindustries.com,Massive Industries,CMP_1010,camp_10,MQL,,,,,,2025-06-02,2025-06-16,False,False,50.0,15.0,26.0,23.0,12.0,5.0,4.0,False
ACC_0085,LEAD_0085,2025-06-19,massivedynamics.com,Massive Dynamics,CMP_1019,camp_19,MQL,,,,,,,,False,False,,,,,,,,False
ACC_0086,LEAD_0086,2025-06-03,yahoo.com,Soylent Enterprises,CMP_1013,camp_13,Closed Won,OPP_0086,2025-06-15,22933.0,2025-08-15,Won,2025-06-05,2025-06-19,True,True,240.0,58.0,25.0,109.0,43.0,43.0,3.0,True
ACC_0087,LEAD_0087,2025-07-01,wonkadynamics.com,Wonka Dynamics,CMP_1018,camp_18,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0088,LEAD_0088,2025-02-12,globexindustries.com,Globex Industries,CMP_1012,camp_12,MQL,,,,,,,,False,False,,,,,,,,False
ACC_0089,LEAD_0089,2025-01-04,waynegroup.com,Wayne Group,CMP_1009,camp_9,MQL,,,,,,2025-01-13,2025-01-27,False,False,64.0,15.0,9.0,30.0,17.0,7.0,4.0,False
ACC_0090,LEAD_0090,2025-02-28,wayneholdings.com,Wayne Holdings,CMP_1010,camp_10,Closed Won,OPP_0090,2025-03-25,24419.0,2025-03-29,Won,2025-03-03,2025-03-17,True,True,385.0,90.0,39.0,167.0,69.0,68.0,3.0,True
ACC_0091,LEAD_0091,2025-06-14,wayneenterprises.com,Wayne Enterprises,CMP_1004,camp_4,Closed Lost,OPP_0091,2025-07-08,15229.0,2025-09-03,Lost,2025-06-17,2025-07-01,True,False,55.0,15.0,24.0,27.0,12.0,4.0,4.0,False
ACC_0092,LEAD_0092,2025-03-30,umbrellagroup.com,Umbrella Group,CMP_1008,camp_8,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0093,LEAD_0093,2025-09-13,waynesystems.com,Wayne Systems,CMP_1011,camp_11,MQL,,,,,,2025-09-18,2025-10-02,False,False,51.0,15.0,19.0,22.0,12.0,12.0,4.0,False
ACC_0094,LEAD_0094,2025-06-01,initechholdings.com,Initech Holdings,CMP_1019,camp_19,Closed Won,OPP_0094,2025-07-01,18088.0,2025-08-02,Won,2025-06-08,2025-06-22,True,True,456.0,108.0,34.0,195.0,108.0,61.0,3.0,True
ACC_0095,LEAD_0095,2025-08-24,gmail.com,Acme Holdings,,,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0096,LEAD_0096,2025-03-21,hoolinetworks.com,Hooli Networks,CMP_1007,camp_7,Closed Won,OPP_0096,2025-04-27,21174.0,2025-05-11,Won,2025-03-21,2025-04-04,True,True,357.0,80.0,15.0,164.0,71.0,56.0,3.0,True
ACC_0097,LEAD_0097,2025-04-10,gmail.com,Stark Corporation,CMP_1006,camp_6,Closed Lost,OPP_0097,2025-04-26,26167.0,2025-07-17,Lost,2025-04-16,2025-04-30,True,False,42.0,12.0,10.0,20.0,12.0,1.0,4.0,False
ACC_0098,LEAD_0098,2025-07-04,vehementholdings.com,Vehement Holdings,CMP_1010,camp_10,SQL,,,,,,2025-07-09,2025-07-23,False,False,56.0,13.0,14.0,25.0,11.0,7.0,4.0,False
ACC_0099,LEAD_0099,2025-03-11,yahoo.com,Wayne Labs,CMP_1015,camp_15,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0100,LEAD_0100,2025-09-30,starklabs.com,Stark Labs,CMP_1007,camp_7,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0101,LEAD_0101,2025-05-30,starknetworks.com,Stark Networks,CMP_1003,camp_3,MQL,,,,,,,,False,False,,,,,,,,False
ACC_0102,LEAD_0102,2025-02-13,massiveenterprises.com,Massive Enterprises,CMP_1009,camp_9,SQL,,,,,,2025-02-16,2025-03-02,False,False,61.0,14.0,12.0,30.0,12.0,7.0,4.0,False
ACC_0103,LEAD_0103,2025-01-23,acmeholdings.com,Acme Holdings,CMP_1004,camp_4,Closed Lost,OPP_0103,2025-02-07,22060.0,2025-05-19,Lost,2025-01-28,2025-02-11,True,False,56.0,15.0,11.0,27.0,11.0,6.0,4.0,False
ACC_0104,LEAD_0104,2025-03-17,acmedynamics.com,Acme Dynamics,CMP_1017,camp_17,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0105,LEAD_0105,2025-02-02,hoolisolutions.com,Hooli Solutions,CMP_1012,camp_12,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0106,LEAD_0106,2025-06-11,globexgroup.com,Globex Group,,,MQL,,,,,,2025-06-13,2025-06-27,False,False,48.0,15.0,14.0,21.0,9.0,7.0,4.0,False
ACC_0107,LEAD_0107,2025-02-24,massiveenterprises.com,Massive Enterprises,CMP_1010,camp_10,MQL,,,,,,,,False,False,,,,,,,,False
ACC_0108,LEAD_0108,2025-09-14,outlook.com,Umbrella Group,CMP_1003,camp_3,MQL,,,,,,,,False,False,,,,,,,,False
ACC_0109,LEAD_0109,2025-05-14,starkgroup.com,Stark Group,CMP_1015,camp_15,Closed Lost,OPP_0109,2025-06-02,26144.0,2025-06-25,Lost,2025-05-17,2025-05-31,True,False,55.0,14.0,17.0,25.0,11.0,11.0,4.0,False
ACC_0110,LEAD_0110,2025-01-31,massivedynamics.com,Massive Dynamics,CMP_1015,camp_15,Closed Lost,OPP_0110,2025-03-06,26257.0,2025-04-28,Lost,2025-02-01,2025-02-15,True,False,68.0,15.0,26.0,26.0,16.0,12.0,4.0,False
ACC_0111,LEAD_0111,2025-09-24,waynesystems.com,Wayne Systems,CMP_1009,camp_9,Closed Lost,OPP_0111,2025-10-14,24395.0,2026-01-12,Lost,2025-10-03,2025-10-17,True,False,53.0,15.0,10.0,24.0,12.0,10.0,4.0,False
ACC_0112,LEAD_0112,2025-08-25,wonkagroup.com,Wonka Group,CMP_1014,camp_14,MQL,,,,,,2025-08-28,2025-09-11,False,False,46.0,13.0,27.0,16.0,12.0,8.0,4.0,False
ACC_0113,LEAD_0113,2025-08-20,vehementdynamics.com,Vehement Dynamics,CMP_1007,camp_7,SQL,,,,,,2025-08-26,2025-09-09,False,False,39.0,15.0,23.0,19.0,5.0,5.0,3.0,False
ACC_0114,LEAD_0114,2025-09-14,starkenterprises.com,Stark Enterprises,CMP_1002,camp_2,Closed Lost,OPP_0114,2025-10-01,11720.0,2025-12-17,Lost,2025-09-17,2025-10-01,True,False,51.0,15.0,10.0,27.0,9.0,8.0,4.0,False
ACC_0115,LEAD_0115,2025-04-23,acmecorporation.com,Acme Corporation,CMP_1009,camp_9,MQL,,,,,,2025-04-25,2025-05-09,False,False,59.0,15.0,24.0,27.0,8.0,9.0,4.0,False
ACC_0116,LEAD_0116,2025-08-30,globexindustries.com,Globex Industries,CMP_1019,camp_19,Closed Won,OPP_0116,2025-10-02,17485.0,2025-09-28,Won,2025-08-31,2025-09-14,True,True,402.0,97.0,27.0,176.0,76.0,57.0,3.0,True
ACC_0117,LEAD_0117,2025-03-21,hooligroup.com,Hooli Group,CMP_1011,camp_11,MQL,,,,,,2025-03-30,2025-04-13,False,False,53.0,15.0,16.0,20.0,12.0,8.0,3.0,False
ACC_0118,LEAD_0118,2025-06-10,wonkacorporation.com,Wonka Corporation,CMP_1007,camp_7,Closed Lost,OPP_0118,2025-06-29,22763.0,2025-07-19,Lost,2025-06-17,2025-07-01,True,False,64.0,14.0,23.0,33.0,9.0,12.0,4.0,False
ACC_0119,LEAD_0119,2025-01-27,soylentnetworks.com,Soylent Networks,CMP_1016,camp_16,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0120,LEAD_0120,2025-03-01,acmegroup.com,Acme Group,CMP_1008,camp_8,SQL,,,,,,2025-03-01,2025-03-15,False,False,68.0,15.0,2.0,37.0,8.0,8.0,4.0,False
ACC_0121,LEAD_0121,2025-09-17,vehementcorporation.com,Vehement Corporation,CMP_1005,camp_5,Closed Lost,OPP_0121,2025-10-22,18486.0,2025-10-16,Lost,2025-09-22,2025-10-06,True,False,44.0,13.0,19.0,17.0,7.0,11.0,4.0,False
ACC_0122,LEAD_0122,2025-05-07,wayneenterprises.com,Wayne Enterprises,CMP_1017,camp_17,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0123,LEAD_0123,2025-04-13,umbrelladynamics.com,Umbrella Dynamics,CMP_1019,camp_19,SQL,,,,,,2025-04-21,2025-05-05,False,False,45.0,14.0,24.0,27.0,5.0,5.0,4.0,False
ACC_0124,LEAD_0124,2025-05-20,acmegroup.com,Acme Group,CMP_1001,camp_1,Closed Lost,OPP_0124,2025-06-19,24836.0,2025-08-14,Lost,2025-05-26,2025-06-09,True,False,63.0,15.0,24.0,27.0,11.0,7.0,4.0,False
ACC_0125,LEAD_0125,2025-09-25,vehementdynamics.com,Vehement Dynamics,CMP_1018,camp_18,MQL,,,,,,2025-10-04,2025-10-18,False,False,54.0,15.0,11.0,27.0,14.0,2.0,4.0,False
ACC_0126,LEAD_0126,2025-02-03,starkdynamics.com,Stark Dynamics,CMP_1003,camp_3,Closed Won,OPP_0126,2025-02-12,6505.0,2025-05-28,Won,,,True,True,,,,,,,,False
ACC_0127,LEAD_0127,2025-04-09,acmeenterprises.com,Acme Enterprises,CMP_1005,camp_5,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0128,LEAD_0128,2025-09-12,wonkaholdings.com,Wonka Holdings,CMP_1013,camp_13,MQL,,,,,,2025-09-20,2025-10-04,False,False,30.0,14.0,21.0,14.0,7.0,3.0,4.0,False
ACC_0129,LEAD_0129,2025-02-24,umbrellalabs.com,Umbrella Labs,CMP_1014,camp_14,Closed Won,OPP_0129,2025-03-24,21059.0,2025-06-18,Won,2025-03-03,2025-03-17,True,True,200.0,48.0,17.0,98.0,40.0,20.0,3.0,True
